Timestamp,Gender,Age,Level of Education,Monthly Income,Algorithms are used to recommend news-videos to me on Youtube,Algorithms are used to prioritize certain news-videos on youtube above others,Algorithms are used to design news-videos to show me on youtube,Algorithms are used to show other people different videos than what I see on Youtube,Algorithms are used to show me news-videos on youtube based on automated decisions,Algorithms do not require human-judgment in deciding which news-videos to show me on youtube,Algorithms make automated decisions for what type of news-videos I get to see on youtube,Select the option of 'Disagree' to show that you are human,The news-videos that algorithms recommend to me on youtube depend on my online behaviour and usage,The news-videos that algorithms recommend to me on youtube depend on my online behavioural user-data,The news-videos that algorithms recommend to me on youtube depend on the data that I make available online,It is not always clear why algorithms decide to show me certain news-videos on youtube,The news-videos that algorithms recommend to me on youtube can be subjected to human-prejudice and bias,Algorithms use my personal data to recommend certain news-videos on youtube and this has consequences for my online privacy,Some AI technologies/products make learning easier,I find that AI technologies/products are helpful for learning,AI technologies/products are good aids to learning,Using AI technologies/products makes learning more interesting,I am confident that I can learn simple programming in AI technology if training is provided,AI technologies/products help me to save a lot of time,I find it easy to get AI technologies/products to do what I want it to do,I think AI technologies/products interact or talk like a real person,Select the option of 'Neutral' to show that you are human,I think AI technologies/products express/share content like a real person,I think there is no difference between how AI technologies/products talk compared with real people,I think the tone of AI technologies/products when interacting is the same as real people.,I feel that AI technologies/products interact on text-message like real people,"When interacting with AI technologies/products, I feel very calm","When interacting with AI technologies/products, I find it easy","When interacting with AI technologies/products, I feel comfortable ","When interacting with AI technologies/products, I feel very peaceful","When interacting with AI technologies/products, I feel very relaxed",I can happily interact with AI technologies/products easily,"When using AI technologies/products, I am not worried that I might press wrong button and cause risks","When using AI technologies/products, I am not worried that I might press wrong button and damage something","When using AI technology/product, I know all of its features",Technical terms or language used in AI technologies/products do not confuse me,Using AI in news-video recommendation on youtube will make this world a better place,Using AI in news-video recommendation on youtube has more disadvantages than advantages,Using AI in news-video recommendation on youtube offers solutions to many problems in journalism,Using AI in news-videos recommendation on youtube creates problems instead of solving them,I have strong negative emotions about AI use in news-video recommendation on youtube,I look forward to developments in AI in news-video recommendation on youtube,I am afraid of AI use in news-video recommendation on youtube,Select the option of 'Agree' to show that you are human,"When I think about AI in news-video recommendation on youtube, I have mostly positive feelings",I want to use social-media platforms that use AI in news-video recommendation,I prefer social-media platforms that do not feature AI in news-video recommendation,I would rather choose a social-media platform that uses AI in new-video recommendation than one without it,I would rather not use social-media platforms that use AI in news-video recommendation,"I would watch, share, comment on the AI recommended news on youtube without hesitation","
I think watching, sharing and commenting on AI recommended news-videos on youtube is positive for me and other people ",I would feel comfortable relying on AI recommended news-videos for information,I would plan to consume the AI recommended news-videos on youtube regularly,AI recommended news aims to inform the public,AI recommended news is generally truthful  ,AI recommended news is a reliable source of information,"In general, news present a true reality of the world","
It is simple and effort-free to watch AI recommended news-videos on youtube ",It is easy to find the 'news' topics that are promoted by AI/algorithm on youtube,"It is easy to watch, share and comment on AI/algorithm promoted news on youtube",It is easy to tell which news on youtube is promoted by AI/algorithm ,
2025/09/03 10:07:54 pm GMT+9,Female,18-25,Master's / University Degree,USD 500-100,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,
2025/09/03 10:14:11 pm GMT+9,Female,18-25,High-School,USD 500-100,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,
2025/09/03 10:18:28 pm GMT+9,Female,26-35,Master's / University Degree,USD 1001-1500,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,
2025/09/03 10:40:58 pm GMT+9,Female,18-25,Bachelor/College Degree,USD 500-100,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,
2025/09/04 3:55:54 pm GMT+9,Female,18-25,High-School,USD 500-1000,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,
2025/09/04 6:11:56 pm GMT+9,Female,36-45,Bachelor/College Degree,USD 1001-1500,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,
2025/09/04 6:22:45 pm GMT+9,Male,36-45,Master's / University Degree,USD 2001-3000,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,
2025/09/04 7:44:07 pm GMT+9,Male,26-35,Master's / University Degree,USD 500-1000,Neutral,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2025/09/04 8:01:17 pm GMT+9,Male,36-45,Master's / University Degree,,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,
2025/09/04 8:01:55 pm GMT+9,Female,18-25,Master's / University Degree,USD 500-1000,Strongly Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,
2025/09/04 8:38:42 pm GMT+9,Male,36-45,Master's / University Degree,USD 1001-1500,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Neutral,
2025/09/04 8:46:15 pm GMT+9,Female,36-45,Master's / University Degree,USD 1001-1500,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,
2025/09/04 8:48:19 pm GMT+9,Female,18-25,Master's / University Degree,USD 1501-2000,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,
2025/09/04 8:50:08 pm GMT+9,Female,46-60,Master's / University Degree,USD 500-1000,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,
2025/09/04 9:50:31 pm GMT+9,Male,36-45,Master's / University Degree,,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,
2025/09/04 11:28:18 pm GMT+9,Male,46-60,Master's / University Degree,USD 500-1000,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,
2025/09/04 11:39:34 pm GMT+9,Female,18-25,Master's / University Degree,USD 1001-1500,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,
2025/09/04 11:44:01 pm GMT+9,Male,36-45,Master's / University Degree,USD 3001 and above,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2025/09/04 11:53:53 pm GMT+9,Female,26-35,Master's / University Degree,USD 1001-1500,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
2025/09/05 12:04:05 am GMT+9,Female,36-45,Master's / University Degree,,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,
